date,open,high,low,close,volume,value,symbol
26-06-2007,6501.5,6547.65,6490.75,6515.6,7856246,533.92,NIFTY BANK
27-06-2007,6522.5,6534.1,6457.3,6482.45,7128429,541.6,NIFTY BANK
28-06-2007,6509.1,6538.15,6487.85,6521.35,10821783,733.3,NIFTY BANK
29-06-2007,6521.85,6749.95,6521.85,6740.1,14529806,1010.21,NIFTY BANK
02-07-2007,6811.85,6828.9,6696,6718,8142499,561.36,NIFTY BANK
03-07-2007,6719.65,6882.6,6719.65,6857.1,10700547,778.6,NIFTY BANK
04-07-2007,6917.35,6917.35,6777.5,6836.45,7476502,574.73,NIFTY BANK
05-07-2007,6845.25,6902.8,6739.5,6818.35,12026839,867.82,NIFTY BANK
06-07-2007,6796.5,6830.45,6751.35,6791.25,12527274,978.27,NIFTY BANK
09-07-2007,6787.75,6895.7,6752.4,6867.9,15002035,726.79,NIFTY BANK
10-07-2007,6891.8,6906.05,6798.8,6814.7,12162757,592.77,NIFTY BANK
11-07-2007,6779.25,6845.2,6752.65,6794.7,11274501,508.72,NIFTY BANK
12-07-2007,6812.05,6931.5,6812.05,6916.05,9612807,487.2,NIFTY BANK
13-07-2007,6935,7032.65,6935,6980.35,13907896,834.29,NIFTY BANK
16-07-2007,6985.05,7112.9,6938.05,7101.3,15528894,798.05,NIFTY BANK
17-07-2007,7064.25,7154.4,7020,7041.75,14901294,847.82,NIFTY BANK
18-07-2007,7050.9,7093.9,6978,7068.8,9927061,582.96,NIFTY BANK
19-07-2007,7099.15,7157.7,7082.1,7137.9,9750009,670.79,NIFTY BANK
20-07-2007,7146.7,7209.2,7064.65,7086.55,9761873,608.06,NIFTY BANK
23-07-2007,7073.7,7088.8,7024.6,7076.3,8992885,484.55,NIFTY BANK
24-07-2007,7092.35,7142.15,7057.65,7075.6,11618186,689.95,NIFTY BANK
25-07-2007,7061.35,7068.55,6959.25,7003.45,12781508,637.26,NIFTY BANK
26-07-2007,7024.9,7032.95,6904.7,6933.3,13997930,726.19,NIFTY BANK
27-07-2007,6864.55,6864.55,6608.1,6698.65,16698557,1059.13,NIFTY BANK
30-07-2007,6726.6,6937.1,6650.7,6829.8,14113381,927.91,NIFTY BANK
31-07-2007,6864.1,6943.9,6712.85,6928.45,19952573,1270.7,NIFTY BANK
01-08-2007,6903.85,6903.85,6609.75,6637.35,16576485,1220.59,NIFTY BANK
02-08-2007,6630.85,6819.45,6612.05,6759.15,11784655,889.82,NIFTY BANK
03-08-2007,6803,6903.4,6797.3,6854.6,7580345,602.58,NIFTY BANK
06-08-2007,6826.95,6853.85,6627.6,6821.85,10139425,870.85,NIFTY BANK
07-08-2007,6846.7,6954.65,6796.9,6823.45,12356740,898.18,NIFTY BANK
08-08-2007,6849.85,6998.6,6849.85,6966.8,13942212,908.62,NIFTY BANK
09-08-2007,7001.5,7110.55,6805.6,6837.2,11119698,817.15,NIFTY BANK
10-08-2007,6665.3,6665.3,6542.4,6646.05,11816636,872.48,NIFTY BANK
13-08-2007,6650.3,6732.3,6622.8,6679.75,9480874,692.97,NIFTY BANK
14-08-2007,6735.45,6735.45,6668.9,6702.35,7554196,508.49,NIFTY BANK
16-08-2007,6456.2,6509.3,6293.65,6305.75,15803163,1000.06,NIFTY BANK
17-08-2007,6273.7,6375.45,6083.85,6245.6,20527473,1408.66,NIFTY BANK
20-08-2007,6358.05,6567.6,6358.05,6491.5,10850530,764.95,NIFTY BANK
21-08-2007,6490.75,6521.5,6173.7,6210.45,10448039,724.37,NIFTY BANK
22-08-2007,6242.4,6312.6,6058.35,6228.85,21848276,1189.3,NIFTY BANK
23-08-2007,6303.45,6397.15,6061.55,6090.25,15761374,904.92,NIFTY BANK
24-08-2007,6128.85,6196.65,6071.45,6176.55,14089992,896.09,NIFTY BANK
27-08-2007,6278.5,6492.25,6278.5,6471.85,16506999,1200.42,NIFTY BANK
28-08-2007,6470.4,6522.05,6425.35,6485.5,12609369,925.94,NIFTY BANK
29-08-2007,6409.4,6535.9,6326.5,6509.3,15107965,1119.22,NIFTY BANK
30-08-2007,6581.4,6609.45,6532.9,6572.45,18816123,1246.41,NIFTY BANK
31-08-2007,6582.1,6714.4,6568.2,6675.85,9997528,764.25,NIFTY BANK
03-09-2007,6712.6,6788.05,6707.45,6774.05,9933434,665.89,NIFTY BANK
04-09-2007,6852.25,6863.35,6759.1,6801.65,8947024,590.37,NIFTY BANK
05-09-2007,6784.5,6850.45,6754.4,6777.65,8925923,665.49,NIFTY BANK
06-09-2007,6718.9,6878.3,6673.75,6868.85,7242822,547.24,NIFTY BANK
